id,created_at,text
270290138330963968,2012-11-18 22:19:25,b'RT @OccupySandyNJ: Refridgerated truck still needed at #UnionBeach #NJ Hub for perishable food #SandyAid #Sandyvolunteer #NewJersey'
269502335951192065,2012-11-16 18:08:58,"b'RT @misfist: MT @OccupySandy If anyone has used laptops for @OSJacobi, our Sunset Park Hub, please let us know. #sandyaid #sandyvolunteer'"
269501542384664576,2012-11-16 18:05:49,b'RT @HumanityRoad: #WiFi networking hardware needed by Disaster Tech Labs in #NYC to help build WiFi networks http://t.co/D0W6kYU2 #sandy ...'
269501192898482176,2012-11-16 18:04:26,"b'RT @Aline_Carr: MT @NYCSandyNeeds Visitation Church 98 Richards St, #RedHook needs cleaning supplies, toilet paper, etc. #SandyAid #sand ...'"
269501156869435392,2012-11-16 18:04:17,b'RT @Aline_Carr: Disaster Tech Labs needs donations or loans of alternative electric #power sources in #NYC http://t.co/S7m6iNCV #sandy # ...'
269489076204367873,2012-11-16 17:16:17,"b'RT @OccupyNG: VOLUNTEER DRIVERS who have trucks for distribution. NJ Skateshop, 29 Easton Ave, New Brunswick NJ, until 6pm today! Contac ...'"
269489030624854016,2012-11-16 17:16:06,b'RT @520ClintonOS: Need food and water at 520 Clinton Ave to send out to relief hubs. #SandyAid #MutualAid #Sandy #OWS'
269488976832901120,2012-11-16 17:15:53,"b""RT @SandyRegistryNJ: Can't make it to the shore? Send coveralls via Amazon to protect #sandyvolunteers and survivors: http://t.co/8WJtSb ..."""
269488900781785088,2012-11-16 17:15:35,"b'RT @NYCSandyNeeds: Park Slope Armory still needs volunteers, esp Russian, Spanish and Mandarin speakers. Sign up: http://t.co/ZGifX0bD # ...'"
269488882431709186,2012-11-16 17:15:31,"b'RT @NYCSandyNeeds: Visitation Church (98 Richards St) #RedHook needs cleaning supplies, paper towels, toilet paper. #SandyAid'"
269140045963853824,2012-11-15 18:09:21,b'RT @HumanityRoad: MT @rhookinitiative ATTN: Need vols @ 83 14th St btwn 2nd &amp; 3rd Ave NOW 2 help load supplies! #SandyVolunteers #Br ...'
268838192470425600,2012-11-14 22:09:54,b'RT @briteNYC: #FUsandy NYC Event: Help Rebuild The Beach! #sandyaid  http://t.co/A9jtZ1FQ'
268838150057635841,2012-11-14 22:09:44,b'RT @Love4SI: 11/15 &amp; 11/16: FREE LEGAL CLINIC by @MFYLegal at 75 Vanderbuilt 10a-4p #sandyaid #sihelp #helpsi'
268838100665511937,2012-11-14 22:09:32,"b'RT @_Lindsay__: @LeahRemini New Drop off #RedHook, all donations accepted, including clothing 110 Wolcott St, Brooklyn, NY 11231, USA #S ...'"
268770459556913155,2012-11-14 17:40:45,b'RT @NYCSandyNeeds: Volunteers and Food donations NEEDED daily at GRAYSON and FAIRBANKS - Contact Paula Raffone Pucciarelli pppucciarelli ...'
268770385087045632,2012-11-14 17:40:27,"b'RT @OccupySandy: The Jacobi hub is looking for volunteers and drivers today (and every day)! 54th and 4th Ave in Sunset Park, Brooklyn.  ...'"
268770265842991105,2012-11-14 17:39:59,b'RT @TheMechMap: New FEMA Disaster Recovery Center in #hoboken See map: http://t.co/bX7jRZzE #sandyaid #sandyrelief &amp; get email alert ...'
268770220758405120,2012-11-14 17:39:48,"b""RT @_Lindsay__: @LeahRemini CHN's MedicalMobileVan @  Key Food (Parking Lot): 87-15 #Rockaways Beach Blvd. (btw. Beach 87th &amp; 88th)  ..."""
268576907560382464,2012-11-14 04:51:39,b'RT @aliyaplatif: @ISA_NYU of @ICNYU Blood Drive THIS Friday for #SandyAid with the NY Blood Center. Sign-Up! http://t.co/mPLiuVmB #Sandy ...'
268576887507390464,2012-11-14 04:51:34,"b'RT @TheMechMap: Reformed Church of Highland Park, NJ is a  new #sandyrelief hub! http://t.co/McYr3gFM Welcome! #sandyaid'"
268576833799335936,2012-11-14 04:51:21,"b""RT @PurpleGimp: Don't forget @OccupyRedHook is seeking more caring folks to #SandyVolunteer! Spread the word! #OccupySandy #OccupyRedHoo ..."""
